review_text,review_rating
"Toko alat tulis terbesar di Makassar. Sudah pasti lengkap dong isinya. Oh iya di sini juga jual perlengkapan jualan makanan. Misalnya kotak makan kertas, mangkok kertas, gelas kertas/plastik, box kue dll",5
Buat yang cari peralatan ATK bisa coba ke toko Agung ini. Produk lengkap dan harganya murah. Bisa buat grosiran.,5
Terlengkap. kalau nyari barang2 mah cus langsung ke sini,5
Menyenangkan dan memuaskaska dri segala segi...barang lengkap pelayanannyapu rama2 di tamba lgi spg'y cantik2 n pingin de dpt istri dri sana😀😀👍,5
"Ditempat lain..... Bayar pakai QRIS bebas.... Disini kita dikenakan charge 10 %
Apa memang bgtu yaa aturannya ??

😧😧😧",3
"toko agung menjual segala macam alat tulis kantor, bahkan keperluan harian juga ada, sangat lengkap dan termurah semakassar, sayang pihak toko tidak menyediakan pendingin udara sehingga tempat ini sangat gerah ketika toko dalam keadaan banyak pengunjung",4
"Pusat berbelanja berbagai kebutuhan perkantoran di Makassar. Lokasi sangat strategis, berhadapan langsung dengan Mall Ratu Indah. Selalu ramai dikunjungi mulai pagi hingga malam hari karena harganya yang murah, khususnya jika beli grosiran. Siap-siap antrian panjang jika berkunjung, ada area parkiran khusus untuk mobil yang terletak di samping gedung.",5
Instansi Pendidikan,5
"Lengkap, mulai alat tulis, tas, alat dapur, alat kantor hingga hiasan natal, Imlek, ulang tahun dan lebaran",5
"Barangnya lengkap, tp kalau bisa saran akses  jalan didalam toko kalau bisa agak di perluas,soalnya ramai jd susah bergerak.",5
"Tempatnya padat jd membuat ruangannya panas, untuk parkiran mobil kekurangan tmpt, dan parkiran motornya krg sreg dgn tukang parkir yg cetus",4
"Toko buku yang paling favorit banget. Tokonya paling cepat buka, dan terlengkap di Makassar. Terletak di tengah kota. Tersedia alat tulis sekolah, alat tulis kantor, peralatan dapur pun juga ada di sini.",5
"Kasirnya Slow respon, terus beberapa SPG nya juga kurang ramah (ngga semua yah, beberapa doang)",3
"Tolong dong Toko agung ini tempatnnya dipernyaman lg,soalnya panas banget,pengap jg.karyawannya jg dong dbuat Ramah dikit.
Klo kita nanya malah diopor2 trus senyumnya pada mahal.
Kyk ga digaji kerja dsana.",2
Jangan datang di toko ini ketika akan memasuki ajaran baru karena akan padat sekali sehingga penuh dengan pelanggan yang akan berbelanja untuk keperluan sekolah.,5
